temperature,rainfall,humidity
26.24,112.09,78.4
43.52,99.87,34.76
36.96,52.85,47.73
32.96,182.18,73.06
19.68,142.99,58.57
19.68,259.71,79.09
16.74,9.63,96.9
40.99,193.16,29.32
33.03,228.88,76.77
36.24,227.85,38.43
15.62,265.82,53.16
44.1,218.71,22.63
39.97,278.34,30.87
21.37,99.8,45.58
20.45,150.96,47.36
20.5,4.22,91.97
24.13,2.09,79.35
30.74,72.04,97.77
27.96,30.24,67.93
23.74,78.06,39.34
33.36,53.11,46.21
19.18,8.56,45.59
23.76,272.79,46.12
25.99,2.47,73.84
28.68,220.82,62.46
38.56,45.64,50.83
20.99,273.67,31.93
30.43,267.84,21.77
32.77,196.17,37.51
16.39,201.67,28.6
33.23,1.6,82.84
20.12,295.46,29.0
16.95,263.35,77.94
43.47,268.53,50.85
43.97,197.77,25.87
39.25,103.44,85.02
24.14,268.09,66.37
17.93,87.46,38.86
35.53,168.81,91.57
28.2,29.92,23.62
18.66,276.59,36.15
29.86,42.23,80.16
16.03,67.47,76.75
42.28,167.44,43.14
22.76,229.23,24.96
34.88,185.81,88.65
24.35,69.64,45.1
30.6,0.28,35.66
31.4,227.15,61.28
20.55,295.56,92.82
44.09,242.97,23.48
38.25,138.06,81.26
43.18,271.13,65.8
41.84,122.95,54.04
32.94,157.48,79.53
42.66,143.14,97.27
17.65,134.29,38.34
20.88,232.56,31.49
16.36,158.03,93.03
24.76,95.02,73.52
26.66,77.45,55.04
23.14,11.32,65.86
39.86,174.96,79.65
25.7,68.99,81.84
23.43,44.44,93.59
31.28,196.15,54.15
19.23,204.36,43.47
39.07,225.65,71.17
17.24,151.07,53.26
44.61,268.22,67.57
38.17,280.9,53.6
20.96,242.21,32.24
15.17,190.68,57.55
39.46,91.12,75.27
36.21,294.88,83.94
36.87,82.24,59.47
38.14,60.8,33.22
17.22,132.65,53.18
25.75,17.05,82.9
18.48,293.55,53.03
40.89,176.53,75.72
33.7,167.09,60.58
24.93,196.74,39.3
16.91,149.11,83.69
24.33,9.62,26.74
24.76,183.69,61.99
36.89,214.85,36.71
34.13,125.02,25.37
41.62,227.19,60.23
29.17,68.1,59.96
18.59,66.38,76.55
36.4,48.43,79.58
37.82,111.6,78.22
31.84,254.1,52.76
38.13,248.37,70.54
29.81,114.85,66.16
30.68,176.74,53.72
27.83,216.24,67.78
15.76,72.36,95.78
18.24,50.44,35.43
15.94,291.63,92.46
34.09,185.27,24.28
24.43,294.42,44.67
30.26,101.33,43.05
42.23,210.91,70.11
22.48,66.78,30.5
27.31,78.36,90.59
37.67,153.57,86.28
21.86,95.89,72.17
17.31,50.29,56.67
23.69,78.86,94.64
19.84,10.72,86.46
42.89,211.33,59.95
39.24,147.63,76.15
34.0,28.27,65.35
41.14,51.51,67.04
39.11,30.76,46.48
20.6,183.78,56.97
41.78,28.26,26.25
31.18,226.28,48.59
39.22,6.15,75.67
41.88,74.81,96.26
24.54,267.2,97.05
18.3,215.56,64.46
21.84,21.89,68.53
27.81,246.34,34.86
39.54,147.91,75.62
40.82,254.03,25.65
15.21,180.22,42.77
30.32,204.55,73.47
27.52,298.05,44.82
21.66,69.7,23.99
18.6,187.18,86.55
25.13,138.1,44.83
43.29,11.84,25.05
24.7,4.34,25.98
30.56,35.77,40.14
36.09,194.73,34.24
25.91,170.15,81.94
44.15,166.03,45.73
43.87,9.56,84.38
22.55,140.79,33.91
29.92,277.39,59.43
24.03,119.28,75.04
23.55,187.48,72.16
16.11,233.95,68.09
33.29,235.18,93.99
30.08,155.78,38.28
16.54,257.39,59.5
23.36,117.41,90.72
42.25,266.61,26.23
22.19,72.07,24.47
19.35,84.06,38.66
29.68,15.94,70.64
44.57,238.67,40.79
22.26,125.12,35.22
35.16,68.73,56.7
37.85,69.54,69.09
22.13,270.42,39.88
36.85,250.17,44.06
26.03,166.06,69.08
33.97,184.83,95.66
34.01,142.3,73.98
31.07,117.5,82.63
17.71,274.64,49.34
40.06,37.68,41.78
24.62,125.53,56.34
20.6,103.37,84.57
16.22,149.45,56.5
32.73,137.29,87.74
35.33,155.67,99.1
15.5,41.98,25.76
30.36,153.94,23.63
21.79,72.73,31.97
34.36,55.3,50.75
20.23,19.45,30.48
35.73,228.8,89.65
26.6,128.23,21.85
43.1,187.99,45.26
19.13,218.28,34.78
25.23,203.79,94.52
18.4,141.15,73.56
42.74,116.37,92.96
41.32,112.79,97.79
22.74,192.01,59.77
34.8,148.44,38.75
39.52,254.74,35.5
31.66,262.41,37.83
30.89,51.17,76.69
22.26,40.87,23.24
17.79,189.12,24.11
41.92,90.37,68.65
42.01,5.57,71.36
33.99,266.59,73.22
25.17,68.07,49.75
25.48,278.78,84.48
36.78,215.23,62.69
41.91,228.8,28.44
41.61,60.44,83.77
38.4,70.26,96.25
34.26,156.38,24.8
17.52,51.63,51.31
19.85,91.63,59.0
41.96,96.44,31.72
33.19,47.89,89.42
15.28,61.55,42.73
18.04,236.57,82.64
34.91,50.16,73.68
15.15,8.54,67.84
19.82,188.81,35.37
31.46,292.79,37.66
35.76,99.36,23.79
34.56,35.6,39.26
21.73,171.12,47.64
36.37,271.91,86.65
22.12,235.22,49.31
24.76,186.75,80.37
37.39,94.52,55.16
34.49,162.56,82.79
40.48,27.37,98.1
34.73,203.68,39.19
32.05,217.53,88.99
17.81,289.51,69.75
26.03,78.12,85.38
22.96,5.54,72.13
22.32,163.68,53.92
44.19,212.04,38.25
26.79,237.12,25.6
41.76,58.12,62.84
33.93,78.53,99.23
38.84,153.78,79.04
30.08,99.18,46.19
32.31,258.15,86.18
29.78,142.13,81.52
20.86,239.87,42.53
36.67,174.19,21.14
23.42,231.93,29.45
15.73,99.8,90.18
34.36,249.42,86.93
20.31,82.37,43.62
43.21,163.83,42.82
43.62,64.2,83.43
42.45,142.66,95.02
26.1,95.45,82.33
15.46,80.01,68.45
